Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_MPD_BH-18650-PC2",61.500000,-101.000000,0.000000,top
"BZ1","Buzzer","Buzzer_12x9.5RM7.6",138.430000,-79.385000,-90.000000,top
"C2","100nF","C_0805_2012Metric",62.484000,-84.836000,90.000000,top
"C3","100nF","C_0805_2012Metric",81.534000,-68.580000,180.000000,top
"C4","10uF","C_0805_2012Metric",75.438000,-72.644000,-90.000000,top
"C5","22uF","C_1206_3216Metric",54.102000,-67.564000,180.000000,top
"C6","22uF","C_1206_3216Metric",94.742000,-57.658000,-90.000000,top
"D5","Red","LED_0805_2012Metric",55.880000,-77.724000,-90.000000,top
"D6","Blue","LED_0805_2012Metric",52.832000,-77.724000,-90.000000,top
"D7","SS54","D_SMA",72.644000,-61.620400,180.000000,top
"D8","SS34","D_SMA",73.660000,-55.880000,180.000000,top
"IC1","DW01A-G","SOT-23-6",90.291500,-68.326000,180.000000,top
"J1","TYPE-C-31-M-17","TYPEC31M17_new",49.150000,-90.010000,-90.000000,top
"J3","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",111.516000,-84.836000,90.000000,top
"J5","TP4056","SOP127P600X175-9N",61.976000,-76.200000,90.000000,top
"JP1","Jumper_2_Bridged","PinHeader_1x02_P2.54mm_Vertical",100.076000,-54.478000,90.000000,top
"L1","22uH","SLO0630H",62.865000,-55.880000,0.000000,top
"Q1","2N7002","SOT-23",140.970000,-66.040000,-90.000000,top
"Q2","SI2301CDS-T1-GE3","SOT-23",135.890000,-69.215000,-90.000000,top
"Q3","FS8205","SOT-23-6",81.534000,-63.754000,90.000000,top
"Q4","AO3401A","SOT-23",72.796400,-67.462400,180.000000,top
"R1","100k","R_0805_2012Metric",140.970000,-60.960000,0.000000,top
"R2","1M","R_0805_2012Metric",135.612500,-64.770000,180.000000,top
"R3","100k","R_0805_2012Metric",141.327500,-70.485000,0.000000,top
"R4","100k","R_0805_2012Metric",141.327500,-74.295000,0.000000,top
"R5","5,1k","R_0805_2012Metric",70.866000,-77.724000,0.000000,top
"R6","5,1k","R_0805_2012Metric",70.866000,-74.676000,0.000000,top
"R7","1k","R_0805_2012Metric",133.985000,-55.245000,-90.000000,top
"R8","1k","R_0805_2012Metric",125.730000,-55.245000,-90.000000,top
"R9","4,7k","R_0805_2012Metric",117.475000,-55.245000,-90.000000,top
"R10","5,1k","R_0805_2012Metric",128.016000,-86.868000,-90.000000,top
"R11","10k","R_0805_2012Metric",92.837000,-86.741000,-90.000000,top
"R12","1,2k","R_0805_2012Metric",53.340000,-81.788000,0.000000,top
"R13","1k","R_0805_2012Metric",55.880000,-73.279000,-90.000000,top
"R14","1k","R_0805_2012Metric",52.832000,-73.279000,-90.000000,top
"R15","1k","R_0805_2012Metric",95.861500,-67.564000,180.000000,top
"R16","100","R_0805_2012Metric",79.756000,-71.882000,180.000000,top
"R17","100k","R_0805_2012Metric",61.976000,-67.310000,180.000000,top
"R18","2,2k","R_0805_2012Metric",94.742000,-53.086000,0.000000,top
"RV1","100k","Potentiometer_Bourns_3296W_Vertical",88.646000,-52.832000,90.000000,top
"SW1","SW_Push","PinHeader_1x02_P2.54mm_Vertical",97.404000,-86.868000,90.000000,top
"SW2","SW_SPST","PinHeader_1x02_P2.54mm_Vertical",63.251000,-62.865000,-90.000000,top
"U1","NRF24L01_Breakout","nRF24L01_LNA_Module",72.190000,-86.526500,90.000000,top
"U2","Arduino_Nano","Arduino_Nano",89.950000,-77.620000,90.000000,top
"U4","MT3608","SOT-23-6",54.610000,-62.738000,-90.000000,top
